Gradients,Years,,,,,,,,,,,,,
Stocks,19_21,20_22,21_23,22_24,19_21,20_22,21_23,22_24,,,19_21,20_22,21_23,22_24
APTV,0.11,0.19,-0.15,-0.04,up,up,down,down,,,,,,
ARE,0.06,0.12,-0.1,-0.1,up,up,down,down,,,,,,
ATO,-0.02,0.02,0.05,0.01,flat,flat,up,flat,,,,,,
AVB,-0.09,0.24,-0.09,-0.04,down,up,down,down,,,,,,
AVGO,0.35,0.68,0.22,1.59,up,up,up,up,,,,,,
AVY,0.11,0.23,-0.08,0.06,up,up,down,up,,,,,,
AWK,0.1,0.09,-0.04,-0.05,up,up,down,down,,,,,,
AXON,0.18,0.19,0.01,0.36,up,up,flat,up,,,,,,
AXP,0,0.22,-0.01,0.08,flat,up,flat,up,,,,,,
AZO,0.3,2.11,2.26,1.53,up,up,up,up,,,,,,
BA,-0.45,0.12,-0.15,0.17,down,up,down,up,,,,,,
BAC,0,0.05,-0.02,-0.01,flat,up,flat,flat,,,,,,
BALL,0.05,0.04,-0.09,-0.02,up,up,down,flat,,,,,,
BAX,0,0,-0.08,-0.07,flat,flat,down,down,,,,,,
BBWI,0.04,0.12,-0.06,0,up,up,down,flat,,,,,,
BBY,0.1,0.05,-0.09,0,up,up,down,flat,,,,,,
BDX,0.01,0.03,0.02,0.01,flat,up,flat,flat,,,,,,
BEN,-0.01,0.03,-0.01,0.01,flat,up,flat,flat,,,,,,
BG,0.03,0.14,0.04,0.01,up,up,up,flat,,,,,,
BIIB,0.08,-0.09,-0.11,0.06,up,down,down,up,,,,,,
BIO,0.71,0.55,-0.66,-0.46,up,up,down,down,,,,,,
BK,-0.01,0.05,-0.01,0.02,flat,up,flat,flat,,,,,,
BKNG,0.39,1.84,-0.51,3.75,up,up,down,up,,,,,,
BKR,-0.01,0.03,0.02,0.01,flat,up,flat,flat,,,,,,
BLDR,0.05,0.12,0.05,0.28,up,up,up,up,,,,,,
BLK,0.61,0.83,-0.47,0.33,up,up,down,up,,,,,,
BMY,0.04,0.02,0.03,-0.05,up,flat,up,down,,,,,,
BR,0.06,0.11,-0.05,0.13,up,up,down,up,,,,,,
BRO,0.03,0.06,0.01,0.04,up,up,flat,up,,,,,,
BSX,-0.01,0.02,0,0.05,flat,flat,flat,up,,,,,,
BWA,0.01,0.03,-0.01,0.01,flat,up,flat,flat,,,,,,
BX,0.05,0.19,-0.03,0.06,up,up,down,up,,,,,,
BXP,-0.08,0.08,-0.1,-0.07,down,up,down,down,,,,,,
C,-0.02,0.05,-0.05,0.01,flat,up,down,flat,,,,,,
CAG,0.02,0,0.01,-0.01,flat,flat,flat,flat,,,,,,
CAH,0.02,0.01,0.06,0.12,flat,flat,up,up,,,,,,
CAT,0.14,0.21,0.03,0.26,up,up,up,up,,,,,,
CB,0,0.2,0.1,0.09,flat,up,up,up,,,,,,
CBOE,-0.04,0.09,0.02,0.17,down,up,flat,up,,,,,,
CBRE,0.02,0.15,-0.04,0.01,flat,up,down,flat,,,,,,
CCI,0.09,0.07,-0.09,-0.15,up,up,down,down,,,,,,
CCL,-0.08,0.02,-0.04,0.01,down,flat,down,flat,,,,,,
CDNS,0.16,0.18,0.08,0.32,up,up,up,up,,,,,,
CDW,0.06,0.21,0.01,0.15,up,up,flat,up,,,,,,
CE,0.05,0.17,-0.12,0.06,up,up,down,up,,,,,,
CF,-0.02,0.11,0.11,-0.05,flat,up,up,down,,,,,,
CFG,0,0.06,-0.02,-0.02,flat,up,flat,flat,,,,,,
CHD,0.04,0.04,-0.01,0.03,up,up,flat,up,,,,,,
CHRW,0.04,0.04,0.02,-0.05,up,up,flat,down,,,,,,
CHTR,0.62,0.27,-0.94,-0.22,up,up,down,down,,,,,,
CI,0.11,0.11,0.2,0.1,up,up,up,up,,,,,,
CINF,-0.04,0.14,-0.01,-0.01,down,up,flat,flat,,,,,,
