Date,RL
2022-04-01,
2022-04-04,
2022-04-05,
2022-04-06,102.89664023263114
2022-04-07,102.05890437534877
2022-04-08,101.05443464006694
2022-04-11,100.76841299874441
2022-04-12,101.14661189488002
2022-04-13,102.23106275285993
2022-04-14,103.5554449898856
2022-04-18,104.80255998883928
2022-04-19,105.26751491001673
2022-04-20,105.37189265659877
2022-04-21,104.80255562918526
2022-04-22,104.08275386265345
2022-04-25,103.26263754708427
2022-04-26,101.76609802246094
2022-04-27,100.74400438581193
2022-04-28,100.2776914324079
2022-04-29,100.16246686662946
2022-05-02,99.60533142089842
2022-05-03,98.94788360595703
2022-05-04,97.33747645786829
2022-05-05,96.07816096714564
2022-05-06,94.13564082554407
2022-05-09,92.73263440813338
2022-05-10,91.69563075474332
2022-05-11,91.4367185320173
2022-05-12,91.90574319022042
2022-05-13,91.96132332938058
2022-05-16,91.56007385253905
2022-05-17,91.67800903320312
2022-05-18,91.0666514805385
2022-05-19,89.87511335100444
2022-05-20,89.25019945417131
2022-05-23,88.7635519845145
2022-05-24,89.24884251185824
2022-05-25,90.4688513619559
2022-05-26,91.54652186802454
2022-05-27,93.32908521379741
2022-05-31,95.23364911760602
2022-06-01,96.87930188860213
2022-06-02,97.98001861572266
2022-06-03,98.73506709507532
2022-06-06,99.01837921142577
2022-06-07,98.82860020228793
2022-06-08,97.51234872000556
2022-06-09,96.07274191720144
2022-06-10,94.72260393415178
2022-06-13,92.09417070661273
2022-06-14,90.09742518833707
2022-06-15,88.60359627859933
2022-06-16,87.58421434674945
2022-06-17,87.44052668980189
2022-06-21,87.68181719098772
2022-06-22,87.45408085414341
2022-06-23,88.25792803083147
2022-06-24,88.50464085170199
2022-06-27,88.26479557582309
2022-06-28,88.15355028424942
2022-06-29,87.90544891357422
2022-06-30,87.1509268624442
2022-07-01,87.11290305001395
2022-07-05,87.23490251813615
2022-07-06,87.37431226457868
2022-07-07,87.87044634137834
2022-07-08,88.31327710832868
2022-07-11,88.56476157052175
2022-07-12,88.97069004603794
2022-07-13,88.8463156563895
2022-07-14,89.37115260532924
2022-07-15,90.24177987234931
2022-07-18,90.91696058000836
2022-07-19,91.32698931012834
2022-07-20,91.899660382952
2022-07-21,91.57437024797713
2022-07-22,91.9857646397182
2022-07-25,92.02676718575613
2022-07-26,92.08963775634766
2022-07-27,92.05136653355189
2022-07-28,91.78211212158203
2022-07-29,91.99806213378905
2022-08-01,93.10513850620814
2022-08-02,93.78578513009207
2022-08-03,94.3078874860491
2022-08-04,94.05366952078683
2022-08-05,93.72291346958704
2022-08-08,94.29011971609933
2022-08-09,94.35572378976003
2022-08-10,94.32018933977399
2022-08-11,94.40766252790178
2022-08-12,93.99216788155691
2022-08-15,94.32565743582589
2022-08-16,94.67281559535435
2022-08-17,94.13021305629185
2022-08-18,93.64227948869978
2022-08-19,93.17894744873048
2022-08-22,92.82222311837333
2022-08-23,92.2727835518973
2022-08-24,91.44179316929407
2022-08-25,90.94839259556362
2022-08-26,90.42629023960659
2022-08-29,89.7128415788923
2022-08-30,89.01989310128347
2022-08-31,87.823974609375
2022-09-01,87.59709276471818
2022-09-02,87.7460719517299
2022-09-06,88.03172411237442
2022-09-07,89.10326276506697
2022-09-08,89.65679931640625
2022-09-09,90.17480359758648
2022-09-12,90.66410609654017
2022-09-13,90.80761609758649
2022-09-14,91.08780016217914
2022-09-15,90.76934596470424
2022-09-16,89.83174896240233
2022-09-19,89.05132838657923
2022-09-20,87.9073486328125
2022-09-21,86.66086251395089
2022-09-22,85.57155282156808
2022-09-23,84.57655007498605
2022-09-26,83.7293973650251
2022-09-27,82.8193893432617
2022-09-28,82.71118055071149
2022-09-29,83.68155670166014
2022-09-30,85.16573769705636
2022-10-03,86.3691667829241
2022-10-04,86.71651894705636
2022-10-05,86.90535627092632
2022-10-06,87.68138340541294
2022-10-07,88.46154458182198
2022-10-10,88.78821999686105
2022-10-11,88.58422306605748
2022-10-12,88.77857535226005
2022-10-13,89.28581891741071
2022-10-14,89.71863010951449
2022-10-17,89.60008893694196
2022-10-18,89.35060010637555
2022-10-19,88.66692570277621
2022-10-20,88.84197671072825
2022-10-21,88.64624459402903
2022-10-24,88.28511047363281
2022-10-25,88.49186706542967
2022-10-26,88.90400150844027
2022-10-27,89.28994968959262
2022-10-28,89.44708360944473
2022-10-31,89.0184086390904
2022-11-01,89.23068019321987
2022-11-02,89.60973358154297
2022-11-03,89.86749158586775
2022-11-04,89.52979060581752
2022-11-07,89.79719543457031
2022-11-08,91.73795209612165
2022-11-09,93.20454733712333
2022-11-10,94.41889953613281
2022-11-11,95.18389783586774
2022-11-14,96.13773454938615
2022-11-15,97.87862723214286
2022-11-16,98.66705867222376
2022-11-17,98.92068045479911
2022-11-18,99.71462685721261
2022-11-21,100.48651668003626
2022-11-22,101.56578826904295
2022-11-23,103.02549198695591
2022-11-25,104.43832724434989
2022-11-28,106.19024549211775
2022-11-29,107.47765023367745
2022-11-30,108.01659611293248
2022-12-01,108.20267922537667
2022-12-02,108.45492226736886
2022-12-05,108.38186754499162
2022-12-06,107.6085989815848
2022-12-07,107.24195316859654
2022-12-08,106.63546643938336
2022-12-09,106.56103297642301
2022-12-12,105.97522081647601
2022-12-13,105.34116799490792
2022-12-14,104.08546447753906
2022-12-15,103.27773393903459
2022-12-16,102.19019208635603
2022-12-19,101.17019326346262
2022-12-20,100.32800510951452
2022-12-21,100.00684356689455
2022-12-22,99.62365286690849
2022-12-23,99.95892333984374
2022-12-27,100.62049756731304
2022-12-28,101.52816554478235
