1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,CL,,,,,,,,,,,,,
,DPZ,,,,,,,,,,,,,
,DVA,,,,,,,,,,,,,
,PYPL,,,,,,,,,,,,,
,QRVO,,,,,,,,,,,,,
,SPGI,,,,,,,,,,,,,
,SWKS,,,,,,,,,,,,,
,TYL,,,,,,,,,,,,,
,VZ,,,,,,,,,,,,,
,CHD,,,,,,,,,,,,,
,CMCSA,,,,,,,,,,,,,
,COO,,,,,,,,,,,,,
,GRMN,,,,,,,,,,,,,
,ICE,,,,,,,,,,,,,
,MCHP,,,,,,,,,,,,,
,MCO,,,,,,,,,,,,,
,MPWR,,,,,,,,,,,,,
,MU,,,,,,,,,,,,,
,NWSA,,,,,,,,,,,,,
,NXPI,,,,,,,,,,,,,
,PPG,,,,,,,,,,,,,
,SBUX,,,,,,,,,,,,,
,DAY,,,,,,,,,,,,,
,TFX,,,,,,,,,,,,,
,ADSK,,,,,,,,,,,,,
,CMI,,,,,,,,,,,,,
,DXCM,,,,,,,,,,,,,
,FIS,,,,,,,,,,,,,
,CE,,,,,,,,,,,,,
,EXPD,,,,,,,,,,,,,
,PKG,,,,,,,,,,,,,
,WDC,,,,,,,,,,,,,
,AMZN,,,,,,,,,,,,,
,ANSS,,,,,,,,,,,,,
,DLR,,,,,,,,,,,,,
,FAST,,,,,,,,,,,,,
,FDX,,,,,,,,,,,,,
,ZBH,,,,,,,,,,,,,
,AKAM,,,,,,,,,,,,,
,LULU,,,,,,,,,,,,,
,NOW,,,,,,,,,,,,,
,TTWO,,,,,,,,,,,,,
,EA,,,,,,,,,,,,,
,ADBE,,,,,,,,,,,,,
,AMD,,,,,,,,,,,,,
,ITW,,,,,,,,,,,,,
,HOLX,,,,,,,,,,,,,
,MKC,,,,,,,,,,,,,
,ADI,,,,,,,,,,,,,
,ALLE,,,,,,,,,,,,,
,BRO,,,,,,,,,,,,,
,EXPE,,,,,,,,,,,,,
,INTU,,,,,,,,,,,,,
,LYB,,,,,,,,,,,,,
,NWS,,,,,,,,,,,,,
,SYF,,,,,,,,,,,,,
,XYL,,,,,,,,,,,,,
,C,,,,,,,,,,,,,
,NTAP,,,,,,,,,,,,,
,AMAT,,,,,,,,,,,,,
,AME,,,,,,,,,,,,,
,AOS,,,,,,,,,,,,,
,APH,,,,,,,,,,,,,
,ISRG,,,,,,,,,,,,,
,JPM,,,,,,,,,,,,,
,MSFT,,,,,,,,,,,,,
,ODFL,,,,,,,,,,,,,
,PNR,,,,,,,,,,,,,
,VRSN,,,,,,,,,,,,,
,WTW,,,,,,,,,,,,,
,CDW,,,,,,,,,,,,,
,BXP,,,,,,,,,,,,,
,DFS,,,,,,,,,,,,,
,ESS,,,,,,,,,,,,,
,IPG,,,,,,,,,,,,,
,LYV,,,,,,,,,,,,,
,FTV,,,,,,,,,,,,,
,BR,,,,,,,,,,,,,
,CMG,,,,,,,,,,,,,
,CRM,,,,,,,,,,,,,
,ECL,,,,,,,,,,,,,
,INTC,,,,,,,,,,,,,
,LRCX,,,,,,,,,,,,,
,MA,,,,,,,,,,,,,
,MAS,,,,,,,,,,,,,
,NFLX,,,,,,,,,,,,,
,VRSK,,,,,,,,,,,,,
,EQIX,,,,,,,,,,,,,
,GPN,,,,,,,,,,,,,
,PTC,,,,,,,,,,,,,
,ROP,,,,,,,,,,,,,
,AXON,,,,,,,,,,,,,
,DHI,,,,,,,,,,,,,
,LEN,,,,,,,,,,,,,
,META,,,,,,,,,,,,,
,TT,,,,,,,,,,,,,
,V,,,,,,,,,,,,,
,CSGP,,,,,,,,,,,,,
,AVB,,,,,,,,,,,,,
,STZ,,,,,,,,,,,,,
,USB,,,,,,,,,,,,,
,APD,,,,,,,,,,,,,
,LDOS,,,,,,,,,,,,,
,MKTX,,,,,,,,,,,,,
,TMUS,,,,,,,,,,,,,
,MNST,,,,,,,,,,,,,
,NEE,,,,,,,,,,,,,
,PODD,,,,,,,,,,,,,
,WMT,,,,,,,,,,,,,
,CAT,,,,,,,,,,,,,
,IR,,,,,,,,,,,,,
,KLAC,,,,,,,,,,,,,
,LIN,,,,,,,,,,,,,
,SYK,,,,,,,,,,,,,
,NVR,,,,,,,,,,,,,
,URI,,,,,,,,,,,,,
,CPRT,,,,,,,,,,,,,
,PH,,,,,,,,,,,,,
,CPAY,,,,,,,,,,,,,
,CTAS,,,,,,,,,,,,,
,ETN,,,,,,,,,,,,,
,BKNG,,,,,,,,,,,,,
,GE,,,,,,,,,,,,,
,ROST,,,,,,,,,,,,,
,SNPS,,,,,,,,,,,,,
,ROL,,,,,,,,,,,,,
,NEM,,,,,,,,,,,,,
